"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2777",1202000,"Powiat brzeski",2019,NA
"2778",1203000,"Powiat chrzanowski",2019,NA
"2779",1204000,"Powiat dąbrowski",2019,NA
"2780",1205000,"Powiat gorlicki",2019,NA
"2781",1206000,"Powiat krakowski",2019,NA
"2782",1207000,"Powiat limanowski",2019,NA
"2783",1208000,"Powiat miechowski",2019,NA
"2784",1209000,"Powiat myślenicki",2019,NA
"2785",1210000,"Powiat nowosądecki",2019,NA
"2786",1211000,"Powiat nowotarski",2019,NA
"2787",1212000,"Powiat olkuski",2019,NA
"2788",1213000,"Powiat oświęcimski",2019,NA
"2789",1214000,"Powiat proszowicki",2019,NA
"2790",1215000,"Powiat suski",2019,NA
"2791",1216000,"Powiat tarnowski",2019,NA
"2792",1217000,"Powiat tatrzański",2019,NA
"2793",1218000,"Powiat wadowicki",2019,NA
"2794",1219000,"Powiat wielicki",2019,NA
"2795",1261000,"Powiat m.Kraków",2019,NA
"2796",1262000,"Powiat m.Nowy Sącz",2019,NA
"2797",1263000,"Powiat m.Tarnów",2019,NA
"2798",1401000,"Powiat białobrzeski",2019,NA
"2799",1402000,"Powiat ciechanowski",2019,NA
"2800",1403000,"Powiat garwoliński",2019,NA
"2801",1404000,"Powiat gostyniński",2019,NA
"2802",1405000,"Powiat grodziski",2019,NA
"2803",1406000,"Powiat grójecki",2019,NA
"2804",1407000,"Powiat kozienicki",2019,NA
"2805",1408000,"Powiat legionowski",2019,NA
"2806",1409000,"Powiat lipski",2019,NA
"2807",1410000,"Powiat łosicki",2019,NA
"2808",1411000,"Powiat makowski",2019,NA
"2809",1412000,"Powiat miński",2019,NA
"2810",1413000,"Powiat mławski",2019,NA
"2811",1414000,"Powiat nowodworski",2019,NA
"2812",1415000,"Powiat ostrołęcki",2019,NA
"2813",1416000,"Powiat ostrowski",2019,NA
"2814",1417000,"Powiat otwocki",2019,NA
"2815",1418000,"Powiat piaseczyński",2019,NA
"2816",1419000,"Powiat płocki",2019,NA
"2817",1420000,"Powiat płoński",2019,NA
"2818",1421000,"Powiat pruszkowski",2019,NA
"2819",1422000,"Powiat przasnyski",2019,NA
"2820",1423000,"Powiat przysuski",2019,NA
"2821",1424000,"Powiat pułtuski",2019,NA
"2822",1425000,"Powiat radomski",2019,NA
"2823",1426000,"Powiat siedlecki",2019,NA
"2824",1427000,"Powiat sierpecki",2019,NA
"2825",1428000,"Powiat sochaczewski",2019,NA
"2826",1429000,"Powiat sokołowski",2019,NA
"2827",1430000,"Powiat szydłowiecki",2019,NA
"2828",1432000,"Powiat warszawski zachodni",2019,NA
"2829",1433000,"Powiat węgrowski",2019,NA
"2830",1434000,"Powiat wołomiński",2019,NA
"2831",1435000,"Powiat wyszkowski",2019,NA
"2832",1436000,"Powiat zwoleński",2019,NA
