"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"464",804000,"Powiat nowosolski",1996,70
"465",805000,"Powiat słubicki",1996,88
"466",806000,"Powiat strzelecko-drezdenecki",1996,19
"467",807000,"Powiat sulęciński",1996,18
"468",808000,"Powiat świebodziński",1996,18
"469",809000,"Powiat zielonogórski",1996,75
"470",810000,"Powiat żagański",1996,94
"471",811000,"Powiat żarski",1996,97
"472",812000,"Powiat wschowski",1996,NA
"473",861000,"Powiat m.Gorzów Wielkopolski",1996,408
"474",862000,"Powiat m.Zielona Góra",1996,483
"475",1001000,"Powiat bełchatowski",1996,200
"476",1002000,"Powiat kutnowski",1996,129
"477",1003000,"Powiat łaski",1996,70
"478",1004000,"Powiat łęczycki",1996,30
"479",1005000,"Powiat łowicki",1996,234
"480",1006000,"Powiat łódzki wschodni",1996,135
"481",1007000,"Powiat opoczyński",1996,120
"482",1008000,"Powiat pabianicki",1996,129
"483",1009000,"Powiat pajęczański",1996,50
"484",1010000,"Powiat piotrkowski",1996,103
"485",1011000,"Powiat poddębicki",1996,93
"486",1012000,"Powiat radomszczański",1996,245
"487",1013000,"Powiat rawski",1996,117
"488",1014000,"Powiat sieradzki",1996,217
"489",1015000,"Powiat skierniewicki",1996,51
"490",1016000,"Powiat tomaszowski",1996,124
"491",1017000,"Powiat wieluński",1996,37
"492",1018000,"Powiat wieruszowski",1996,21
"493",1019000,"Powiat zduńskowolski",1996,28
"494",1020000,"Powiat zgierski",1996,343
"495",1021000,"Powiat brzeziński",1996,NA
"496",1061000,"Powiat m.Łódź",1996,1057
"497",1062000,"Powiat m.Piotrków Trybunalski",1996,114
"498",1063000,"Powiat m.Skierniewice",1996,101
"499",1201000,"Powiat bocheński",1996,152
"500",1202000,"Powiat brzeski",1996,179
"501",1203000,"Powiat chrzanowski",1996,92
"502",1204000,"Powiat dąbrowski",1996,64
"503",1205000,"Powiat gorlicki",1996,188
"504",1206000,"Powiat krakowski",1996,447
"505",1207000,"Powiat limanowski",1996,195
"506",1208000,"Powiat miechowski",1996,61
"507",1209000,"Powiat myślenicki",1996,197
"508",1210000,"Powiat nowosądecki",1996,128
"509",1211000,"Powiat nowotarski",1996,278
"510",1212000,"Powiat olkuski",1996,142
"511",1213000,"Powiat oświęcimski",1996,190
"512",1214000,"Powiat proszowicki",1996,72
"513",1215000,"Powiat suski",1996,121
"514",1216000,"Powiat tarnowski",1996,317
"515",1217000,"Powiat tatrzański",1996,183
"516",1218000,"Powiat wadowicki",1996,300
"517",1219000,"Powiat wielicki",1996,262
"518",1261000,"Powiat m.Kraków",1996,1948
"519",1262000,"Powiat m.Nowy Sącz",1996,149
"520",1263000,"Powiat m.Tarnów",1996,250
"521",1401000,"Powiat białobrzeski",1996,104
"522",1402000,"Powiat ciechanowski",1996,156
"523",1403000,"Powiat garwoliński",1996,270
"524",1404000,"Powiat gostyniński",1996,52
"525",1405000,"Powiat grodziski",1996,213
"526",1406000,"Powiat grójecki",1996,238
"527",1407000,"Powiat kozienicki",1996,84
"528",1408000,"Powiat legionowski",1996,270
"529",1409000,"Powiat lipski",1996,72
"530",1410000,"Powiat łosicki",1996,64
"531",1411000,"Powiat makowski",1996,74
"532",1412000,"Powiat miński",1996,484
"533",1413000,"Powiat mławski",1996,129
"534",1414000,"Powiat nowodworski",1996,154
"535",1415000,"Powiat ostrołęcki",1996,140
"536",1416000,"Powiat ostrowski",1996,118
"537",1417000,"Powiat otwocki",1996,257
"538",1418000,"Powiat piaseczyński",1996,322
"539",1419000,"Powiat płocki",1996,64
"540",1420000,"Powiat płoński",1996,31
"541",1421000,"Powiat pruszkowski",1996,429
"542",1422000,"Powiat przasnyski",1996,21
"543",1423000,"Powiat przysuski",1996,132
"544",1424000,"Powiat pułtuski",1996,71
"545",1425000,"Powiat radomski",1996,246
"546",1426000,"Powiat siedlecki",1996,181
"547",1427000,"Powiat sierpecki",1996,127
"548",1428000,"Powiat sochaczewski",1996,240
"549",1429000,"Powiat sokołowski",1996,75
"550",1430000,"Powiat szydłowiecki",1996,61
"551",1431000,"Powiat warszawski",1996,4562
"552",1432000,"Powiat warszawski zachodni",1996,319
"553",1433000,"Powiat węgrowski",1996,125
"554",1434000,"Powiat wołomiński",1996,575
"555",1435000,"Powiat wyszkowski",1996,68
"556",1436000,"Powiat zwoleński",1996,49
"557",1437000,"Powiat żuromiński",1996,22
"558",1438000,"Powiat żyrardowski",1996,81
"559",1461000,"Powiat m.Ostrołęka",1996,262
"560",1462000,"Powiat m.Płock",1996,518
"561",1463000,"Powiat m.Radom",1996,344
"562",1464000,"Powiat m.Siedlce",1996,322
"563",1465000,"Powiat m. st. Warszawa",1996,NA
"564",1601000,"Powiat brzeski",1996,81
"565",1602000,"Powiat głubczycki",1996,52
"566",1603000,"Powiat kędzierzyńsko-kozielski",1996,26
"567",1604000,"Powiat kluczborski",1996,32
"568",1605000,"Powiat krapkowicki",1996,17
"569",1606000,"Powiat namysłowski",1996,17
"570",1607000,"Powiat nyski",1996,128
"571",1608000,"Powiat oleski",1996,62
"572",1609000,"Powiat opolski",1996,48
"573",1610000,"Powiat prudnicki",1996,19
"574",1611000,"Powiat strzelecki",1996,27
"575",1661000,"Powiat m.Opole",1996,62
"576",1801000,"Powiat bieszczadzki",1996,29
"577",1802000,"Powiat brzozowski",1996,76
"578",1803000,"Powiat dębicki",1996,198
"579",1804000,"Powiat jarosławski",1996,45
"580",1805000,"Powiat jasielski",1996,110
"581",1806000,"Powiat kolbuszowski",1996,61
"582",1807000,"Powiat krośnieński",1996,138
"583",1808000,"Powiat leżajski",1996,104
"584",1809000,"Powiat lubaczowski",1996,41
"585",1810000,"Powiat łańcucki",1996,110
"586",1811000,"Powiat mielecki",1996,227
"587",1812000,"Powiat niżański",1996,104
"588",1813000,"Powiat przemyski",1996,19
"589",1814000,"Powiat przeworski",1996,40
"590",1815000,"Powiat ropczycko-sędziszowski",1996,152
