"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6805",3021000,"Powiat poznański",2003,45.2
"6806",3022000,"Powiat rawicki",2003,45.3
"6807",3023000,"Powiat słupecki",2003,54.7
"6808",3024000,"Powiat szamotulski",2003,45
"6809",3025000,"Powiat średzki",2003,43.3
"6810",3026000,"Powiat śremski",2003,51
"6811",3027000,"Powiat turecki",2003,48.7
"6812",3028000,"Powiat wągrowiecki",2003,52.9
"6813",3029000,"Powiat wolsztyński",2003,45.3
"6814",3030000,"Powiat wrzesiński",2003,50.1
"6815",3031000,"Powiat złotowski",2003,48.6
"6816",3061000,"Powiat m.Kalisz",2003,50.2
"6817",3062000,"Powiat m.Konin",2003,50.1
"6818",3063000,"Powiat m.Leszno",2003,46.8
"6819",3064000,"Powiat m.Poznań",2003,43.9
"6820",3201000,"Powiat białogardzki",2003,48.2
"6821",3202000,"Powiat choszczeński",2003,51.3
"6822",3203000,"Powiat drawski",2003,53.4
"6823",3204000,"Powiat goleniowski",2003,54.6
"6824",3205000,"Powiat gryficki",2003,51.8
"6825",3206000,"Powiat gryfiński",2003,55.4
"6826",3207000,"Powiat kamieński",2003,49.8
"6827",3208000,"Powiat kołobrzeski",2003,42.4
"6828",3209000,"Powiat koszaliński",2003,53.2
"6829",3210000,"Powiat myśliborski",2003,53.2
"6830",3211000,"Powiat policki",2003,47.6
"6831",3212000,"Powiat pyrzycki",2003,56.4
"6832",3213000,"Powiat sławieński",2003,51.1
"6833",3214000,"Powiat stargardzki",2003,50.7
"6834",3215000,"Powiat szczecinecki",2003,54
"6835",3216000,"Powiat świdwiński",2003,53.5
"6836",3217000,"Powiat wałecki",2003,47.8
"6837",3218000,"Powiat łobeski",2003,55.9
"6838",3261000,"Powiat m.Koszalin",2003,50.9
"6839",3262000,"Powiat m.Szczecin",2003,50.4
"6840",3263000,"Powiat m.Świnoujście",2003,42.2
"6841",201000,"Powiat bolesławiecki",2004,44
"6842",202000,"Powiat dzierżoniowski",2004,54.8
"6843",203000,"Powiat głogowski",2004,45.9
"6844",204000,"Powiat górowski",2004,51.8
"6845",205000,"Powiat jaworski",2004,51.1
