"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"14175",664000,"Powiat m.Zamość",2003,126.5
"14176",801000,"Powiat gorzowski",2003,104.3
"14177",802000,"Powiat krośnieński",2003,132
"14178",803000,"Powiat międzyrzecki",2003,124.4
"14179",804000,"Powiat nowosolski",2003,124.5
"14180",805000,"Powiat słubicki",2003,129.1
"14181",806000,"Powiat strzelecko-drezdenecki",2003,104.9
"14182",807000,"Powiat sulęciński",2003,120.6
"14183",808000,"Powiat świebodziński",2003,142
"14184",809000,"Powiat zielonogórski",2003,126.9
"14185",810000,"Powiat żagański",2003,94.1
"14186",811000,"Powiat żarski",2003,114.3
"14187",812000,"Powiat wschowski",2003,127.3
"14188",861000,"Powiat m.Gorzów Wielkopolski",2003,90.6
"14189",862000,"Powiat m.Zielona Góra",2003,87.2
"14190",1001000,"Powiat bełchatowski",2003,137.9
"14191",1002000,"Powiat kutnowski",2003,118.9
"14192",1003000,"Powiat łaski",2003,132.7
"14193",1004000,"Powiat łęczycki",2003,113.2
"14194",1005000,"Powiat łowicki",2003,127.7
"14195",1006000,"Powiat łódzki wschodni",2003,155.9
"14196",1007000,"Powiat opoczyński",2003,125.7
"14197",1008000,"Powiat pabianicki",2003,145.1
"14198",1009000,"Powiat pajęczański",2003,142.5
"14199",1010000,"Powiat piotrkowski",2003,124.4
"14200",1011000,"Powiat poddębicki",2003,102.9
"14201",1012000,"Powiat radomszczański",2003,122.7
"14202",1013000,"Powiat rawski",2003,124.6
"14203",1014000,"Powiat sieradzki",2003,155.1
"14204",1015000,"Powiat skierniewicki",2003,139.4
"14205",1016000,"Powiat tomaszowski",2003,123.6
"14206",1017000,"Powiat wieluński",2003,119.9
"14207",1018000,"Powiat wieruszowski",2003,166.9
"14208",1019000,"Powiat zduńskowolski",2003,142.8
"14209",1020000,"Powiat zgierski",2003,132.1
"14210",1021000,"Powiat brzeziński",2003,113.8
"14211",1061000,"Powiat m.Łódź",2003,152.3
"14212",1062000,"Powiat m.Piotrków Trybunalski",2003,138.2
"14213",1063000,"Powiat m.Skierniewice",2003,124.3
"14214",1201000,"Powiat bocheński",2003,123
"14215",1202000,"Powiat brzeski",2003,135.9
"14216",1203000,"Powiat chrzanowski",2003,124.3
"14217",1204000,"Powiat dąbrowski",2003,138.3
"14218",1205000,"Powiat gorlicki",2003,123.1
"14219",1206000,"Powiat krakowski",2003,141.1
"14220",1207000,"Powiat limanowski",2003,132.3
"14221",1208000,"Powiat miechowski",2003,129
"14222",1209000,"Powiat myślenicki",2003,132
"14223",1210000,"Powiat nowosądecki",2003,139.7
"14224",1211000,"Powiat nowotarski",2003,142
"14225",1212000,"Powiat olkuski",2003,149.2
"14226",1213000,"Powiat oświęcimski",2003,120.8
"14227",1214000,"Powiat proszowicki",2003,158.9
"14228",1215000,"Powiat suski",2003,134.3
"14229",1216000,"Powiat tarnowski",2003,134.5
"14230",1217000,"Powiat tatrzański",2003,141.7
"14231",1218000,"Powiat wadowicki",2003,130.7
"14232",1219000,"Powiat wielicki",2003,128
"14233",1261000,"Powiat m.Kraków",2003,75.9
"14234",1262000,"Powiat m.Nowy Sącz",2003,121.8
"14235",1263000,"Powiat m.Tarnów",2003,119.2
"14236",1401000,"Powiat białobrzeski",2003,120.2
"14237",1402000,"Powiat ciechanowski",2003,110.4
"14238",1403000,"Powiat garwoliński",2003,133.8
