"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19823",610000,"Powiat łęczyński",2004,59.9
"19824",611000,"Powiat łukowski",2004,56.6
"19825",612000,"Powiat opolski",2004,63.4
"19826",613000,"Powiat parczewski",2004,64.9
"19827",614000,"Powiat puławski",2004,58.2
"19828",615000,"Powiat radzyński",2004,63
"19829",616000,"Powiat rycki",2004,59.7
"19830",617000,"Powiat świdnicki",2004,54.7
"19831",618000,"Powiat tomaszowski",2004,57.6
"19832",619000,"Powiat włodawski",2004,60.6
"19833",620000,"Powiat zamojski",2004,60.6
"19834",661000,"Powiat m.Biała Podlaska",2004,61.9
"19835",662000,"Powiat m.Chełm",2004,56.1
"19836",663000,"Powiat m.Lublin",2004,58
"19837",664000,"Powiat m.Zamość",2004,55.8
"19838",801000,"Powiat gorzowski",2004,50.4
"19839",802000,"Powiat krośnieński",2004,58.4
"19840",803000,"Powiat międzyrzecki",2004,53.6
"19841",804000,"Powiat nowosolski",2004,57.3
"19842",805000,"Powiat słubicki",2004,47.7
"19843",806000,"Powiat strzelecko-drezdenecki",2004,53
"19844",807000,"Powiat sulęciński",2004,53.6
"19845",808000,"Powiat świebodziński",2004,51
"19846",809000,"Powiat zielonogórski",2004,57.6
"19847",810000,"Powiat żagański",2004,56.4
"19848",811000,"Powiat żarski",2004,48.6
"19849",812000,"Powiat wschowski",2004,47.7
"19850",861000,"Powiat m.Gorzów Wielkopolski",2004,48.7
"19851",862000,"Powiat m.Zielona Góra",2004,50.6
"19852",1001000,"Powiat bełchatowski",2004,61.2
"19853",1002000,"Powiat kutnowski",2004,62.2
"19854",1003000,"Powiat łaski",2004,57.3
"19855",1004000,"Powiat łęczycki",2004,68
"19856",1005000,"Powiat łowicki",2004,49.9
"19857",1006000,"Powiat łódzki wschodni",2004,58.1
"19858",1007000,"Powiat opoczyński",2004,64.9
"19859",1008000,"Powiat pabianicki",2004,55.1
"19860",1009000,"Powiat pajęczański",2004,55.3
"19861",1010000,"Powiat piotrkowski",2004,60.9
"19862",1011000,"Powiat poddębicki",2004,57.8
"19863",1012000,"Powiat radomszczański",2004,66
"19864",1013000,"Powiat rawski",2004,52.3
"19865",1014000,"Powiat sieradzki",2004,61.5
"19866",1015000,"Powiat skierniewicki",2004,49.3
"19867",1016000,"Powiat tomaszowski",2004,59.9
"19868",1017000,"Powiat wieluński",2004,56.8
"19869",1018000,"Powiat wieruszowski",2004,55.1
"19870",1019000,"Powiat zduńskowolski",2004,47.3
"19871",1020000,"Powiat zgierski",2004,58.3
