"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"548",1432000,"Powiat warszawski zachodni",2015,953
"549",1433000,"Powiat węgrowski",2015,1841
"550",1434000,"Powiat wołomiński",2015,3503
"551",1435000,"Powiat wyszkowski",2015,1466
"552",1436000,"Powiat zwoleński",2015,894
"553",1437000,"Powiat żuromiński",2015,810
"554",1438000,"Powiat żyrardowski",2015,1165
"555",1461000,"Powiat m.Ostrołęka",2015,1539
"556",1462000,"Powiat m.Płock",2015,2900
"557",1463000,"Powiat m.Radom",2015,6830
"558",1464000,"Powiat m.Siedlce",2015,1634
"559",1465000,"Powiat m. st. Warszawa",2015,15216
"560",1601000,"Powiat brzeski",2015,1643
"561",1602000,"Powiat głubczycki",2015,1436
"562",1603000,"Powiat kędzierzyńsko-kozielski",2015,1653
"563",1604000,"Powiat kluczborski",2015,1066
"564",1605000,"Powiat krapkowicki",2015,881
"565",1606000,"Powiat namysłowski",2015,757
"566",1607000,"Powiat nyski",2015,3241
"567",1608000,"Powiat oleski",2015,622
"568",1609000,"Powiat opolski",2015,1298
